model,split,regime,target,R2,MAE_um,RMSE_um,MAPE_percent,WMAPE_percent
PIDL_MLP_D6_FINAL,final_test,overall,Sa_um,0.965157770647446,0.08758656582847237,0.12622672771485458,9.550478209535584,9.3296274277604
PIDL_MLP_D6_FINAL,final_test,overall,Sz_um,0.9950779154618339,0.17115835202334456,0.21537736182666345,4.7385747332761445,3.5123014069501393
NaiveMean,final_test,overall,Sa_um,-0.003041505813598633,0.5634080767631531,0.6772636955850682,109.73004150390625,60.01362609863281
NaiveMean,final_test,overall,Sz_um,-0.0030183792114257812,2.651606321334839,3.0745387219819347,94.22605895996094,54.413002014160156
Ridge,final_test,overall,Sa_um,0.5687216520309448,0.330849826335907,0.4440963098968819,57.971866607666016,35.24176788330078
Ridge,final_test,overall,Sz_um,0.6459436416625977,1.3291784524917603,1.8266768629364978,41.55881118774414,27.275768280029297
RandomForest,final_test,overall,Sa_um,0.969638506312224,0.08584345449984077,0.1178310975497403,9.209345768511415,9.143953071112035
RandomForest,final_test,overall,Sz_um,0.9939769488747208,0.17997611860195797,0.23825048504262397,5.080577834322331,3.6932487787500126
ExtraTrees,final_test,overall,Sa_um,0.9742590849128339,0.07922683389544487,0.10849515563568178,8.291911159164691,8.439157712532177
ExtraTrees,final_test,overall,Sz_um,0.9973150787817118,0.11981024120648705,0.15907110289175275,3.435652890719574,2.4585985654920597
XGBoost,final_test,overall,Sa_um,0.94182288646698,0.1170019656419754,0.16310764784985185,14.880704879760742,12.462924003601074
XGBoost,final_test,overall,Sz_um,0.9788656830787659,0.2797664999961853,0.4462923179190537,7.4942169189453125,5.741024017333984
MLP_data_only_FINAL,final_test,overall,Sa_um,0.9633487383280491,0.09173791937278762,0.12946215168253064,10.201229741645703,9.771825172620302
MLP_data_only_FINAL,final_test,overall,Sz_um,0.9951253522987791,0.1725547059689734,0.21433699403779183,5.3013058594562965,3.5409556669956177
